Lemma	POS	Stem	Paradigm	Gloss_RU	Gloss_EN	Delete
aa	X	aa.	unchangeable	да	yes	
ajtent	V	ajtent.	V_even	тошнить	nauseate	
akar	N	akar.	N_even	породистая.собака	purebred.dog	
akar	N	akar.	N_even	собака.с.висячими.ушами	dog.with.floppy.ears	
akər	N	akər.|akr.	N_even	породистая.собака	purebred.dog	
alɣal'	ADV	alɣal'.	ADV	вверх.по.реке	upstream	
alɣal'	ADV	alɣal'.	ADV	вверх.по.течению	upstream	
aln	N	aln.	N_odd	таймень		
amar	V	amar.	V_even	затопить	flood	
amki	PRON	amki.	unchangeable	1SG.EMPH		
amɕ	N	amɕ.	N_odd	загадка	riddle	
amɕik	N	amɕik.	N_even	ямщик	coachman	
anana	N	anana.	N_odd	анана		
apɕi	N	apɕi.	N_even	брат	brother	
āraɕ	N	āraɕ.	N_even	костёр	bonfire	
arit	V	arit.	V_even	остаться.лишним	remain.superfluous	
arməɣt	V	arməɣt.|armɣt.	V_even	остаться.в.излишке	remain.superfluous	
ārpi	N	ārpi.	N_even	рыболовный.запор	fishing.trap	
ārtm	V	ārtm.	V_odd	удасться	succeed	
arənt	N	arənt.|arnt.	N_even	долг	debt	
astal	V	astal.	V_even	заканчивать	finish	
āt'i	V	āt'i.	V_even	NEG.PRED		
āt'i	PRON	āt'i.	unchangeable	что.то	something	
at'im	V	at'im.	V_even	NEG.EX		
āt'im	V	āt'im.	V_even	NEG.EX		
āti	PRON	āti.	unchangeable	NEG.PRON		
atim	V	atim.	V_even	NEG.PRED		
ātim	V	ātim.	V_even	NEG.PRED		
āūxtas	N	āūxtas.	N_odd	камень	stone	
axt	N	axt.	N_odd	протока	channel	
axwt	V	axwt.	V_odd	сдирать.бересту	peel.off.birch.bark	
aŋkrip	N	aŋkrip.	N_even	деревянная.стена	wooden.wall	
aŋxa	N	aŋxa.	N_even	куропатка	partridge	
aɕerəm	N	aɕerəm.	N_odd	холод	cold	
ēlal'	ADV	ēlal'.	ADV	вперёд	forward	
ēlal'	ADV	ēlal'.	ADV	наружу	outside	
ertam	V	ertam.	V_even	может.быть	maybe	
esɣ	V	esɣ.	V_odd	хвалить	praise	
etɣ	V	etɣ.	V_odd	крякать	quack	
etɣal	V	etɣal.	V_even	жаждать	crave	
etpas	N	etpas.	N_even	месяц.луна	moon	
exe	N	exe.	N_even	эхе	hey	
eŋk	N	eŋk.	N_odd	племянница	niece	
eŋk	N	eŋk.	N_odd	слуга	servant	
eɕ	N	eɕ.	N_odd	старшая.сестра	elder.sister	
istakan	N	istakan.	N_odd	стакан	glass	
istenan	N	istenan.	N_odd	стена	wall	
isəl	V	isəl.|isl.	V_even	согреться	warm.up	
isəlt	V	isəlt.|islt.	V_even	согреть	warm	
its	ADV	its.	ADV	быстро	quickly	
iŋt	ADV	iŋt.	ADV	ещё.не	not.yet	
jaɣ	N	jaɣ.	N_odd	старший.родственник	elder.male.relative	
jaɣpiɣe	N	jaɣpiɣe.	N_odd	старший.брат	elder.brother	
janas	ADV	janas.	ADV	врозь	apart	
jani	N	jani.	N_even	размер	size	
janmalt	V	janmalt.	V_even	воспитывать	raise	
jant	V	jant.	V_odd	сгуститься	thicken	
jantla	V	jantla.	V_even	резать	cut	
japak	N	japak.	N_even	шёлк	silk	
jarmak	N	jarmak.	N_even	шёлк	silk	
jarəm	N	jarəm.|jarm.	N_even	беда/нужда		
jatta	N	jatta.	N_even	середина	middle	
jaŋkəlma	N	jaŋkəlma.	N_odd	болото	swamp	
jeɣ	N	jeɣ.	N_odd	старший.брат	elder.brother	
jej	V	jej.	V_odd	прийти	come	
jej	N	jej.	N_odd	старший.родственник	elder.male.relative	
jim	N	jim.	N_odd	могила	grave	
jirxat	V	jirxat.	V_even	приносить.жертву	sacrifice	
jonəɣ	N	jonəɣ.|jonɣ.	N_even	игра	game	
joxtal	V	joxtal.	V_even	прийти	come	
jūniɣt	V	jūniɣt.	V_even	бить	hit	
jūnit	V	jūnit.	V_even	ударить	hit	
jūnət	V	jūnət.|jūnt.	V_even	ударить	hit	
kaja	N	kaja.	N_even	шаман	shaman	
kakəŋ	ADJ	kakəŋ.|kakŋ.	ADJ_even	паршивый	lousy	
kamka	N	kamka.	N_even	морда.снасть	fish.trap	
kar	N	kar.	N_odd	чёрный.дятел	black.woodpecker	
kart	V	kart.	V_odd	онеметь	go.numb	
kasala	V	kasala.	V_odd	увидеть	see	
kasaɕ	V	kasaɕ.	V_even	согласиться	agree	
kast	V	kast.	V_odd	закрыться.платком	cover.with.a.scarf	
katla	N	katla.	N_even	передняя.нога.медведя	bear's.front.leg	
katra	ADJ	katra.	ADJ_even	старый	old	
katxopi	N	katxopi.	N_odd	кисть	brush	
keməl	ADJ	keməl.|keml.	ADJ_even	богатый	rich	
kepəl	POSTP	kepəl.|kepl.	unchangeable	в.качестве	as	
kita	V	kita.	V_even	спрашивать	ask	
kitəɣl	V	kitəɣl.|kitɣl.	V_even	спросить	ask	
kiwtalap	N	kiwtalap.	N_odd	брусок	block	
kol	N	kol.	N_odd	Дом		
konəpal	X	konəpal.	unchangeable	CMPR		
kon'ar	ADJ	kon'ar.	ADJ_even	несчастный	unfortunate	
kort	N	kort.	N_odd	Корт		
kot'el	N	kot'el.	N_even	середина	middle	
kot'l	N	kot'l.	N_odd	середина	middle	
kotar	V	kotar.	V_even	жечь	burn	
koɕar	V	koɕar.	V_even	бурундук	chipmunk	
kwālɣ	N	kwālɣ.	N_odd	верёвка	rope	
kwalt	V	kwalt.	V_odd	принести	bring	
lāɣl	N	lāɣl.	N_odd	нога	leg	
lakwa	ADV	lakwa.	ADV	врозь	apart	
lawaɕ	N	lawaɕ.	N_even	скамейка	bench	
leɣmat	V	leɣmat.	V_even	вытащить	pull.out	
lepla	N	lepla.	N_even	лепля	modeling	
lepta	N	lepta.	N_even	покрывало	bedspread	
les	N	les.	N_odd	петля	loop	
lēwat	V	lēwat.	V_even	вытащить	pull.out	
lēwmat	V	lēwmat.	V_even	вытащить	pull.out	
lēwmat	V	lēwmat.	V_even	поднять	lift	
likm	V	likm.	V_odd	попасть.в.ловушку	fall.into.a.trap	
lipaɕ	N	lipaɕ.	N_even	воля	will	
lipn'at	V	lipn'at.	V_even	сделать.вмятину	make.dent	
lomorta	V	lomorta.	V_odd	стянуть	pull	
lon'xat	V	lon'xat.	V_even	упасть	fall	
lotəŋ	ADV	lotəŋ.|lotŋ.	ADV	вместе	together	
loŋxa	ADV	loŋxa.	ADV	вниз.по.течению	downstream	
