a	N	a.	N_odd	EMPH		x
a	X	a.	X_odd	а	and	
aɣi	N	aɣi.	N_even	девушка	girl	x
āɣi	N	āɣi.	N_even	дочь	daughter	
āɣm	N	āɣm.	N_odd	болезнь	sickness	
aɣt	V	aɣt.	V_odd	верить	believe	
aɣə	N	aɣə.	N_even	девушка	girl	x
ai	V	ai.	V_even	пить	drink	x
aj	V	aj.	V_odd	выпить	drink	x
aj	V	aj.	V_odd	пить	drink	
ajt	V	ajt.	V_odd	пить	drink	x
ākan'	N	ākan'.	N_even	кукла	doll	
ake	N	ake.	N_even	дед	grandfather	x
aki	N	aki.	N_even	дядя	uncle	
akw	N	akw.	N_odd	Один		x
akw	N	akw.	N_odd	ночь	night	x
akw	NUM	akw.//akwa.	NUM_odd	один	one	
akw	N	akw.	N_odd	одинг		x
akw	N	akw.	N_odd	одна	one	x
ākw	N	ākw.//ākwa.	N_odd	тетя	aunt	
akwa	N	akwa.	N_even	один	one	x
akwa	N	akwa.	N_even	тётя	aunt	x
akwaɣ	ADV	akwaɣ.	ADV_even	всегда	always	
akwaiɣ	N	akwaiɣ.	N_odd	каждого		x
akwan=	PREV	akwan.	PREV_even	вместе	together	
akwat	N	akwat.	N_even	вместе	together	x
akwxujplow	NUM	akwxujplow.	NUM_odd	одиннадцать	eleven	
al	N	al.	N_odd	верх	top	
al	V	al.	V_odd	убить	kill	
ala	N	ala.	N_even	верх	top	x
ala	N	ala.	N_even	крыша	roof	
ala	N	ala.	N_even	поверхность	surface	x
ala	X	ala.	X_even	чуть	barely	
alam	X	alam.	X_even	верно	surely	
ali	ADJ	ali.	ADJ_even	южный	southern	
ali	V	ali.	V_even	южный	southern	x
ālim	V	ālim.	V_even	успеть	manage	
aliɕ	N	aliɕ.	N_even	оружие	weapon	
aliɕ	V	aliɕ.	V_even	убить	kill	x
ālmaj	V	almaj.	V_odd	поднимать	lift	
alm	V	alm.	V_odd	поднять	lift	x
alma	V	alma.	V_even	поднять	lift	x
almpal	N	almpal.	N_even	за	behind	x
alpəl	ADJ	alpəl.|alpl.	ADJ_even	утренний	morning	x
ālpəl	N	ālpəl.	N_even	утренний	morning	
alpəl	N	alpəl.|alpl.	N_even	утро	morning	x
am	PRON	am.	PRON_odd	1SG	1SG	
am	N	am.	N_odd	2SG		x
am	N	am.	N_odd	Q		x
aman	N	aman.	N_even	Q		x
āmart	V	āmart.	V_even	зацепить	hook	
aml	V	aml.	V_odd	ASP		x
amman	N	amman.	N_even	Q		x
āmp	N	āmp.	N_odd	собака	dog	
ampar	N	ampar.	N_even	амбар	barn	
an'	V	an'.	V_odd	поцеловать	kiss	
ānas	N	ānas.	N_even	обоз	caravan	
āni	N	āni.	N_even	чашка	cup	
āni	N	āni.	N_even	блюдо	dish	x
āni	N	āni.	N_even	тарелка	plate	x
anja	N	anja.	N_even	Анья		x
anə	N	anə.	N_even	чашка	cup	x
an'	N	an'.	N_odd	Сейчас		x
an'	X	an'.	X_odd	сейчас	now	
an'	N	an'.	N_odd	сестра	sister	x
an'ja	N	an'ja.	N_even	Анеева	Anyeeva	
ān't	N	ān't.	N_odd	рог	horn	
an'ɕar	ADJ	an'ɕar.	ADJ_even	клык	fang	
āpa	N	apa.	N_even	люлька	cradle	
apɣ	N	apɣ.	N_odd	внук	grandson	x
apiɣ	N	apiɣ.|apɣ.	N_even	внук	grandson	
apəɣ	N	apəɣ.|apɣ.	N_even	внук	grandson	x
ar	ADJ	ar.	ADJ_odd	гладкий	smooth	x
āran	N	āran.	N_even	Аран		x
āraɕ	N	āraɕ.	N_even	очаг	hearth	
arɣēn	X	arɣēn.	X_even	зря	in.vain	
ariɣ	ADJ	ariɣ.	ADJ_even	лишний	extra	
ariɣt	V	ariɣt.	V_even	остаться	stay	
ārt	N	ārt.	N_odd	способ	way	
art	V	art.	V_odd	способ	way	x
ārɕin	N	ārɕin.	N_even	аршин	arshin	
ās	N	ās.	N_odd	Обь	Ob	
as	N	as.	N_odd	дырка	hole	
as	N	as.	N_odd	отверстие	hole	x
āɕ	N	āɕ.	N_odd	отец	father	
āse	N	āse.	N_even	отец	father	x
āst	V	āst.	V_odd	закончить	finish	
ast	V	ast.	V_odd	кончить	finish	x
at=	X	at.	X_odd	NEG	NEG	x
at	N	at.	N_odd	запах	smell	
at	NUM	at.	NUM_odd	пять	five	
at	N	at.	N_odd	собирать	gather	x
at	V	at.	V_odd	собирать	gather	
āt'i	X	āt'i.	X_even	NEG.PRED	NEG.PRED	
āt'i	N	āt'i.	N_even	EX		x
āt'i	N	āt'i.	N_even	нет	no	x
āt'im	X	āt'im.	X_even	NEG.EX	NEG.EX	
atint	V	atint.	V_even	нюхать	sniff	
atpan	NUM	atpan.	NUM_even	пятьдесят	fifty	
atər	ADJ	atər.	ADJ_even	ясный	clear	
awi	N	awi.	N_even	дверь	door	x
āwi	N	āwi.	N_even	дверь	door	
axa	X	axa.	X_even	ага	aha	
axtas	N	axtas.	N_even	камень	stone	x
āxwtas	N	āxwtas.	N_even	камень	stone	
āŋkw	N	āŋkw.	N_odd	мать	mother	
aŋkal	N	aŋkal.	N_even	ствол	trunk	x
aŋkwal	N	aŋkwal.	N_even	пень	stump	x
aŋkwal	N	aŋkwal.	N_even	ствол	trunk	x
aŋkwal	N	aŋkwal.	N_even	столб	pole	x
āŋkwal	N	āŋkwal.	N_even	ствол	trunk	x
āŋkwal	N	āŋkwal.	N_even	столб	pole	
āŋkwat	V	āŋkwat.	V_even	взглянуть	glance	
āŋxw	V	āŋxw.	V_odd	снять	take.off	
aɕ	N	aɕ.	N_odd	отец	father	x
āɕ	N	āɕ.	N_odd	отец	father	x
āɕe	N	āɕe.	N_even	отец	father	x
aɕirma	N	aɕirma.	N_odd	холод	cold	
e	X	e.	X_odd	эй	hey	
ē	N	ē.	N_odd	э	hey	x
eɣe	X	eɣe.	X_even	эгей	hey	
ekwa	N	ekwa.	N_even	жена	wife	x
ekwa	N	ekwa.	N_even	женщина	woman	x
ēkwa	N	ēkwa.	N_even	женщина	woman	
el	N	el.	N_odd	далеко	far	x
ēl=	PREV	ēl.//ēla.	PREV_odd	вперед	forward	
ēl	X	ēl.	X_odd	вперед	forward	x
ela	N	ela.	N_even	вперёд	forward	x
ela	N	ela.	N_even	далеко	far	x
ēla	X	ēla.	X_even	вперед	forward	x
ēlal'	ADV	ēlal'.	ADV_even	вперед	forward	
eli	N	eli.	N_even	далеко	far	x
ēli	ADJ	ēli.	ADJ_even	передний	front	
elm	N	elm.	N_odd	EMPH		x
ēlmi	N	ēlmi.	N_even	лезвие	blade	
